Date/Time,Electricity:Facility [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Facility [J](Monthly),Electricity:Facility [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),Gas:Facility [J](RunPeriod) 
December,156464396.377327,8485920.,146380413.228499,1598063.14882797,4800000.,156464396.377327,8485920.,146380413.228499,1598063.14882797,4800000. 
July,39093644.4102853,8485920.,12211480.922256,447922.208029377,0.0,39093644.4102853,8485920.,12211480.922256,447922.208029377,0.0 
