Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),InteriorEquipment:Gas [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  16:00:00,,,,,,,,,,,,,,,,,,,,56975385.3887432,56975385.3887432,854386.38 
 01/02  17:00:00,,,,,,,,,,,,,,,,,,,,56975385.3887432,56975385.3887432,854386.38 
 01/02  18:00:00,,,,,,,,,,,,,,,,,,,,56976835.2548964,56976835.2548964,1253613.16849733 
 01/02  19:00:00,,,,,,,,,,,,,,,,,,,,57017541.74152,57017541.74152,12737402.1856648 
 01/02  20:00:00,,,,,,,,,,,,,,,,,,,,57034413.7367815,57034413.7367815,18212322.6503119 
 01/02  21:00:00,,,,,,,,,,,,,,,,,,,,57049520.7009313,57049520.7009313,23547656.2968701 
 01/02  22:00:00,,,,,,,,,,,,,,,,,,,,57064730.2624221,57064730.2624221,29143477.6558737 
 01/02  23:00:00,,,,,,,,,,,,,,,,,,,,34981479.0384442,34981479.0384442,44412004.1737731 
 01/02  24:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  01:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  02:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  03:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  04:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  05:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  06:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/03  07:00:00,,,,,,,,,,,,,,,,,,,,20973151.2399465,20973151.2399465,165671734.544835 
 01/03  08:00:00,,,,,,,,,,,,,,,,,,,,20806772.4477288,20806772.4477288,110854309.599653 
 01/03  09:00:00,,,,,,,,,,,,,,,,,,,,42001200.843844,42001200.843844,48021284.7184199 
 01/03  10:00:00,,,,,,,,,,,,,,,,,,,,41909978.586281,41909978.586281,24632033.9496902 
