Time,PVAV_REHEAT_1:Des Heat Mass Flow [kg/s],PVAV_REHEAT_1:Des Cool Mass Flow [kg/s],PVAV_REHEAT_1:Des Heat Cap [W],PVAV_REHEAT_1:Des Sens Cool Cap [W] 
20:00:00,8.863567E-01,5.477359E+00,1.487407E+04,6.161696E+04 
20:15:00,8.863567E-01,5.250509E+00,1.487407E+04,5.906451E+04 
20:30:00,8.863567E-01,5.070794E+00,1.487407E+04,5.704225E+04 
20:45:00,8.863567E-01,4.920142E+00,1.487407E+04,5.534701E+04 
21:00:00,8.863567E-01,4.789684E+00,1.487407E+04,5.387905E+04 
21:15:00,8.863567E-01,4.673135E+00,1.487407E+04,5.256764E+04 
21:30:00,8.863567E-01,4.566800E+00,1.487407E+04,5.137120E+04 
21:45:00,8.863567E-01,4.468243E+00,1.487407E+04,5.026230E+04 
22:00:00,8.863567E-01,4.375792E+00,1.487407E+04,4.922213E+04 
22:15:00,8.863567E-01,4.239453E+00,1.487407E+04,4.768830E+04 
22:30:00,8.863567E-01,4.091629E+00,1.487407E+04,4.602554E+04 
22:45:00,8.863567E-01,3.939198E+00,1.487407E+04,4.431092E+04 
23:00:00,8.863567E-01,3.783881E+00,1.487407E+04,4.256378E+04 
23:15:00,8.863567E-01,2.792079E+00,1.487407E+04,3.200614E+04 
23:30:00,8.863567E-01,1.835392E+00,1.487407E+04,2.182920E+04 
23:45:00,8.863567E-01,9.466437E-01,1.487407E+04,1.170239E+04 
24:00:00,8.863567E-01,8.863567E-01,1.487407E+04,1.137451E+04 
Coinc Peak   ,8.863567E-01,8.172273E+00,0.000000E+00,1.093106E+05 
NonCoinc Peak,6.705556E+00,9.716927E+00,0.000000E+00,1.093106E+05 
